"Bulgaria",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     78.26,     24.39,      1.96,     28.85,     37.31,      2.17,     35.11,     28.35,     14.72,      7.49,      8.46,     11.01,      9.09,     10.98,
"Burkina Faso",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     33.33,     65.00,     21.21,     60.00,     17.19,     32.00,     15.15,     28.07,      4.11,     18.42,
"Cabo Verde",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
"Cambodia",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      6.06,      5.71,     37.84,      3.92,     58.49,      3.57,      4.60,      5.49,      0.00,      3.12,
"Cameroon",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     53.85,     35.00,     48.15,     40.00,     17.86,     13.64,      0.00,     21.33,
"Canada, Alberta",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     52.63,      0.00,     34.48,     43.59,     32.14,     31.08,     22.68,     22.69,     33.56,     32.82,     16.22,     19.27,     -0.28,     35.75,     11.52,
"Canada, British Columbia",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      8.33,     61.54,      0.00,     28.57,     18.52,      0.00,     21.88,     17.95,     39.13,      0.00,     14.06,     41.10,      0.00,     80.58,     24.19,     17.32,     56.46,      0.00,     11.32,     30.72,      0.00,     17.50,      0.00,
"Canada, Grand Princess",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
"Canada, Manitoba",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     13.33,      0.00,      5.88,     11.11,      0.00,      5.00,     66.67,      2.86,      8.33,
"Canada, New Brunswick",      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,     54.55,      0.00,      0.00,      5.88,      0.00,     83.33,     36.36,
